City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Tsabong,0,BW,1547684851,36,-26.02,22.4,68.6,3.74
Udomlya,44,RU,1547684853,87,57.88,35.0,19.59,14.03
Komsomolskiy,44,RU,1547684408,77,67.55,63.78,10.82,6.76
Sakaiminato,75,JP,1547683200,56,35.55,133.23,42.8,17.22
Lubango,64,AO,1547684491,79,-14.92,13.49,60.72,1.28
Calbayog,44,PH,1547684858,77,13.29,123.73,77.24,9.44
Myhove,32,UA,1547684859,87,48.14,25.36,29.27,6.64
Cockburn Town,0,TC,1547684232,100,21.46,-71.14,77.46,7.65
Ust-Nera,0,RU,1547684861,0,64.57,143.24,-66.41,1.72
Poum,0,MK,1547684863,67,41.28,20.71,5.64,1.95
Henties Bay,0,NA,1547684438,97,-22.12,14.28,65.04,1.61
Tevaitoa,36,PF,1547684865,95,-16.78,-151.5,84.89,11.45
Fukue,75,JP,1547683200,100,35.03,136.69,42.8,17.22
Parabel,76,RU,1547684868,84,58.71,81.5,11.49,5.3
Livramento,20,BR,1547683200,88,-3.03,-60.18,84.2,5.82
Forestville,90,CA,1547683200,66,48.74,-69.09,15.8,26.4
Babayurt,56,RU,1547684872,92,43.6,46.78,31.02,14.7
Vila Franca do Campo,20,PT,1547681400,81,37.72,-25.43,50.0,4.7
Milkovo,0,BG,1547683200,59,41.53,24.68,35.6,5.82
Lalibela,0,ET,1547684878,66,12.04,39.05,42.99,4.18
Qiongshan,90,CN,1547683200,100,20.01,110.35,60.8,11.18
Tucumcari,1,US,1547682780,34,35.17,-103.73,57.92,27.51
Mahibadhoo,88,MV,1547684395,100,3.78,72.97,80.84,13.47
La Orilla,68,MX,1547684884,75,18.0,-102.23,81.29,3.62
Mezen,88,RU,1547684888,83,65.85,44.24,18.33,2.39
Golden,75,CA,1547683200,78,51.3,-116.96,15.8,1.72
Puerto Maldonado,75,PE,1547679600,334,-12.59,-69.19,33.8,2.24
Dudinka,64,RU,1547684892,76,69.41,86.18,-0.21,7.76
Shelburne,90,CA,1547683200,61,44.08,-80.2,15.8,6.93
Marfino,90,RU,1547683200,92,56.07,37.56,23.0,11.18
Lazaro Cardenas,75,MX,1547682120,42,28.39,-105.62,62.6,9.17
Cartagena,44,ES,1547683200,100,37.63,-1.0,44.6,4.7
Praxedis Guerrero,75,MX,1547683080,37,31.37,-106.02,62.96,6.93
Batsfjord,75,NO,1547682600,80,70.63,29.72,30.2,14.99
Otradnoye,90,RU,1547683200,79,59.77,30.8,23.0,4.47
High Level,75,CA,1547683200,76,58.52,-117.13,-11.21,6.93
Bereda,20,ES,1547683200,76,43.27,-7.54,48.2,4.7
Avera,1,US,1547682900,61,33.19,-82.53,51.98,2.73
Capaci,0,IT,1547682600,71,38.17,13.24,51.8,6.93
Geraldton,5,CA,1547683200,75,49.72,-86.95,-18.41,6.93
Santa Helena de Goias,24,BR,1547684766,73,-17.81,-50.6,77.06,2.95
Espanola,0,CA,1547684911,53,46.27,-81.77,-0.08,4.07
Los Llanos de Aridane,68,ES,1547683200,67,28.66,-17.92,60.8,6.93
Sorland,80,NO,1547684394,100,67.67,12.69,32.96,10.0
Toppenish,90,US,1547684100,81,46.38,-120.31,37.04,2.62
Haljala,92,EE,1547684917,94,59.43,26.27,21.21,10.0
Kytmanovo,92,RU,1547684920,78,53.46,85.45,11.0,3.06
Northam,75,GB,1547682600,93,51.04,-4.21,41.0,10.29
Port Augusta,48,AU,1547683200,36,-32.49,137.76,91.4,14.99
Gazanjyk,8,TM,1547684925,82,39.24,55.52,32.15,2.51
Kaeo,0,NZ,1547684926,53,-35.1,173.78,78.14,14.7
Lingyuan,0,CN,1547684928,57,41.24,119.4,1.68,2.73
Thinadhoo,64,MV,1547684929,100,0.53,72.93,80.57,1.72
NEDJO,0,ET,1547684930,79,9.5,35.5,55.46,4.85
Cervo,32,BR,1547684932,92,-22.19,-46.24,67.38,1.72
Rehoboth,0,NA,1547684933,64,-23.31,17.08,63.92,4.52
Arvika,0,SE,1547682600,100,59.65,12.59,21.2,5.82
Biltine,0,TD,1547684936,58,14.53,20.93,55.55,4.29
La Ronge,75,CA,1547683200,76,55.1,-105.3,-5.81,4.7
Teguldet,80,RU,1547684940,80,57.31,88.17,10.41,5.75
Coolum Beach,0,AU,1547684941,70,-26.53,153.09,80.57,5.53
Cardston,90,CA,1547683320,92,49.2,-113.32,21.2,6.93
Lamu,20,ID,1547684944,97,0.57,122.3,74.99,2.73
Juneau,40,US,1547682960,96,58.3,-134.42,37.94,2.51
Kirensk,80,RU,1547684674,80,57.78,108.12,0.92,2.73
Kichmengskiy Gorodok,56,RU,1547684947,87,59.99,45.81,12.93,6.87
San Nicolas,92,HN,1547684949,88,14.94,-88.33,67.52,2.17
Marmora,0,IT,1547684950,71,44.46,7.09,12.62,1.83
Ucluelet,90,CA,1547683200,62,48.94,-125.55,51.8,4.7
Gorontalo,24,ID,1547684426,85,0.54,123.06,76.34,2.73
Yate,8,GB,1547682960,100,51.54,-2.41,41.0,11.41
Chiredzi,92,ZW,1547684956,93,-21.05,31.67,72.51,8.66
Kloulklubed,90,PW,1547682600,83,7.04,134.26,80.6,9.17
Ribe,88,DK,1547682600,93,55.33,8.76,39.2,10.29
Sawakin,92,SD,1547684960,99,19.1,37.33,69.05,12.57
Sadat,0,YE,1547684963,56,14.53,44.17,32.6,1.95
Graaff-Reinet,0,ZA,1547684413,90,-32.25,24.53,60.86,2.73
Lampa,0,CL,1547683200,37,-33.29,-70.87,71.6,18.34
Vestmanna,76,FO,1547682600,55,62.16,-7.17,37.4,29.97
Tarauaca,76,BR,1547684968,96,-8.16,-70.77,75.57,2.84
Nerchinskiy Zavod,32,RU,1547684969,36,51.31,119.61,-25.55,2.84
Tamandare,76,BR,1547684971,96,-8.28,-70.75,75.57,2.84
Markova,0,RU,1547683200,76,52.21,104.21,-5.81,2.24
Lekoni,56,GA,1547684974,96,-1.58,14.26,70.53,3.06
Prieska,0,ZA,1547684976,42,-29.67,22.74,60.54,3.62
Luis Correia,56,BR,1547684977,84,-2.88,-41.67,80.07,7.87
Ouallam,0,NE,1547684978,46,14.32,2.08,60.5,3.18
Ternate,20,PH,1547683200,65,14.29,120.72,78.8,4.7
Samagaltay,48,RU,1547684982,39,50.6,95.0,-28.16,2.95
Nishihara,40,JP,1547683200,48,35.74,139.53,42.8,2.24
Kyren,36,RU,1547684985,71,51.68,102.13,-5.61,2.17
Kabalo,64,CD,1547684986,92,-6.05,26.92,71.57,2.95
Chenghai,75,CN,1547683200,76,23.46,116.77,55.4,8.95
Emerald,0,AU,1547683200,45,-23.53,148.16,86.0,6.93
Tiznit,56,MA,1547684990,94,29.7,-9.73,49.25,1.83
Minsk,90,BY,1547684040,100,53.9,27.56,26.6,8.95
Kununurra,0,AU,1547683200,78,-15.77,128.74,78.8,5.82
Kharp,68,RU,1547684994,75,66.82,65.8,-3.32,3.18
Tura,0,IN,1547684409,82,25.52,90.21,47.81,4.63
Port Blair,20,IN,1547683200,94,11.67,92.75,69.8,1.12
Trogir,0,HR,1547683200,75,43.52,16.25,44.6,6.93
Bahir Dar,0,ET,1547684998,75,11.59,37.39,45.65,2.62
Kichera,76,RU,1547684513,80,55.93,110.1,-3.14,0.72
Upata,64,VE,1547685001,63,8.02,-62.41,79.08,10.11
Kargopol,80,RU,1547685003,91,61.51,38.95,21.62,7.87
Fondi,40,IT,1547679300,93,41.36,13.43,35.6,3.62
Rorvik,80,NO,1547685093,100,64.86,11.24,22.7,5.41
Tambacounda,0,SN,1547683200,22,13.77,-13.67,78.8,4.7
Mangai,36,CD,1547685009,91,-4.07,19.59,74.09,2.39
Racalmuto,92,IT,1547685011,100,37.41,13.73,48.84,7.65
Kathu,0,ZA,1547685014,29,-27.7,23.05,69.72,7.2
Panaba,0,MX,1547685015,56,21.28,-88.27,74.94,7.43
Sabang,36,PH,1547685016,87,13.72,123.58,77.42,10.78
Trincomalee,100,LK,1547685018,82,8.58,81.23,74.54,7.09
Yarada,12,IN,1547683200,93,17.65,83.27,64.4,2.24
Huarmey,48,PE,1547685020,72,-10.07,-78.15,70.98,4.52
Gushikawa,75,JP,1547683200,93,26.35,127.87,60.8,13.87
Okhotsk,12,RU,1547684905,100,59.36,143.24,-13.31,8.55
Huilong,0,CN,1547685025,82,28.89,110.18,21.89,2.06
Maldonado,20,UY,1547683200,88,-34.91,-54.96,69.8,3.36
Doha,0,QA,1547683200,83,25.29,51.53,71.6,10.29
Bilibino,88,RU,1547684459,53,68.06,166.44,-32.16,3.06
Sorong,92,ID,1547685031,100,-0.86,131.25,74.04,4.29
Severo-Yeniseyskiy,64,RU,1547685032,75,60.37,93.04,7.26,5.75
Seoul,0,KR,1547683200,79,37.57,126.98,32.72,2.24
Palana,8,RU,1547685034,30,59.08,159.95,-20.96,3.18
Reguengos de Monsaraz,75,PT,1547679600,93,38.42,-7.53,48.2,6.93
Shimoda,75,JP,1547683200,100,34.7,138.93,48.2,1.12
Chapala,75,MX,1547682600,43,20.29,-103.19,71.6,3.36
Kofele,0,ET,1547685039,80,7.07,38.78,36.42,2.73
Trairi,36,BR,1547685041,100,-3.28,-39.27,81.29,10.67
Atar,0,MR,1547684469,22,20.52,-13.05,56.27,7.99
Ancud,75,CL,1547683200,71,-41.87,-73.83,55.4,6.93
Menongue,68,AO,1547685044,76,-14.66,17.68,64.19,4.07
Rameswaram,68,IN,1547685046,100,9.28,79.3,78.05,19.28
Esperance,20,TT,1547683200,83,10.24,-61.45,77.0,8.05
Koslan,80,RU,1547685048,91,63.46,48.9,20.49,2.62
Ubata,0,BR,1547685050,85,-14.21,-39.52,72.06,5.75
Kuchera,0,IN,1547685051,49,26.99,73.97,45.33,2.84
Dingle,32,PH,1547684469,68,11.0,122.67,77.01,14.25
Ocampo,36,PH,1547685053,87,13.56,123.37,77.42,10.78
San Carlos de Bariloche,0,AR,1547683200,47,-41.13,-71.31,55.4,17.22
Calella,92,ES,1547683200,93,41.62,2.67,48.2,7.87
Roros,64,NO,1547682600,92,62.57,11.38,15.8,5.82
Sao Joao da Barra,0,BR,1547685058,96,-21.64,-41.05,80.3,24.99
San Joaquin,32,PH,1547685060,68,10.59,122.14,77.01,14.25
Eyl,92,SO,1547685044,100,7.98,49.82,73.82,12.01
Ballitoville,75,ZA,1547683200,94,-29.54,31.21,69.8,5.82
